row ID,MZ_RT,cor, p_value,p_value_corrected,L9,CE,L5,L10,L8,L4,L2,L3,L11,L7,L6,L17,L18,L15,L13,L14,L16,L12,L1
1925,667.4390344_19.270485,0.01222642,0.960379631,1,4.84E-10,1.23E-05,2.58E-10,3.97E-10,4.22E-10,3.06E-10,6.74E-05,1.48E-05,5.17E-10,2.66E-10,2.74E-10,2.35E-04,4.96E-10,4.72E-10,5.25E-10,5.18E-10,4.52E-10,3.55E-10,8.21E-05
402,254.1599371_7.450576,-0.262676286,0.27727124,1,4.84E-10,2.22E-10,2.58E-10,3.97E-10,4.22E-10,3.06E-10,2.66E-10,2.94E-10,5.17E-10,2.66E-10,2.74E-10,5.08E-10,4.96E-10,4.72E-10,5.25E-10,5.18E-10,4.52E-10,3.55E-10,1.57E-04
1057,226.1439768_11.27308,-0.262676087,0.277271616,1,4.84E-10,2.22E-10,2.58E-10,3.97E-10,4.22E-10,3.06E-10,2.66E-10,2.94E-10,5.17E-10,2.66E-10,2.74E-10,5.08E-10,4.96E-10,4.72E-10,5.25E-10,5.18E-10,4.52E-10,3.55E-10,1.39E-04
1275,268.09697_13.289132,0.318709445,0.1835494,1,0.002009255,0.000327402,0.00060004,0.001983171,0.001638193,0.000558163,0.000264106,0.000427086,0.001922439,0.000924995,0.000808833,0.000907785,0.000996397,0.001072001,0.001762011,0.001560045,0.00144206,0.001489056,1.78599E-05
526,162.054961_8.003764,-0.475618792,0.039569625,1,1.92E-04,2.22E-10,9.17E-05,1.56E-04,2.08E-04,2.00E-05,2.66E-10,2.94E-10,2.72E-05,1.19E-04,1.41E-04,5.08E-10,4.96E-10,4.72E-10,5.25E-10,5.18E-10,4.52E-10,3.55E-10,1.72E-10
887,110.060542_10.17351,-0.384442176,0.104131268,1,4.84E-10,3.08E-04,2.17E-04,3.97E-10,4.22E-10,4.04E-04,2.98E-04,3.04E-04,5.17E-10,2.66E-10,2.74E-10,5.08E-10,4.96E-10,4.72E-10,5.25E-10,5.18E-10,4.52E-10,3.55E-10,1.72E-10
1174,176.0675069_12.424432,-0.167122788,0.494069767,1,8.09E-04,4.61E-05,1.30E-04,5.14E-04,1.99E-04,2.30E-04,1.02E-04,2.75E-05,3.50E-04,8.90E-05,1.07E-04,5.08E-10,3.16E-05,6.05E-05,3.53E-04,2.60E-04,4.52E-10,1.16E-04,1.72E-10
3206,607.4387188_30.33227,-0.344648421,0.148454511,1,4.84E-10,1.66E-04,2.58E-10,3.97E-10,4.22E-10,3.06E-10,6.09E-04,1.44E-04,5.17E-10,2.66E-10,2.74E-10,5.08E-10,4.96E-10,4.72E-10,5.25E-10,5.18E-10,4.52E-10,3.55E-10,1.02E-03
2442,407.2904487_23.935802,-0.23351881,0.33596209,1,1.06E-04,2.22E-10,3.51E-04,1.71E-04,4.22E-10,3.06E-10,2.66E-10,2.94E-10,5.17E-10,5.40E-05,3.94E-04,5.08E-10,4.96E-10,2.95E-04,5.25E-10,5.18E-10,2.21E-05,1.33E-04,1.72E-10
2830,188.1281553_27.18421,0.535046368,0.018249779,1,4.84E-10,2.22E-10,2.58E-10,3.97E-10,4.22E-10,3.06E-10,2.66E-10,2.94E-10,1.12E-04,2.66E-10,2.74E-10,1.63E-04,4.10E-04,5.23E-04,2.84E-04,3.12E-04,4.05E-04,2.21E-04,5.09E-04
