row ID,MZ_RT,cor, p_value,p_value_corrected,C7,C8,C9,C10,C11,C12,C13,C14,C15
2069,267.1592938_19.608393,0.119773361,0.758897869,1,1.74E-04,1.04E-03,5.71E-05,9.90E-11,1.53E-10,3.94E-10,9.78E-10,1.22E-09,1.49E-09
2004,205.1850859_19.461725,0.119713645,0.759015207,1,2.32E-04,5.57E-04,1.29E-04,9.90E-11,1.53E-10,3.94E-10,9.78E-10,1.22E-09,1.49E-09
4600,435.3100533_28.141354,0.119685692,0.759070133,1,1.49E-10,1.08E-10,8.84E-11,9.90E-11,2.02E-04,7.20E-04,9.78E-10,1.22E-09,1.49E-09
2031,281.211214_19.527044,0.118759962,0.760889714,1,8.02E-05,5.31E-04,2.25E-05,9.90E-11,1.53E-10,3.94E-10,9.78E-10,1.22E-09,1.49E-09
2262,295.2017747_20.356218,0.118493348,0.761413948,1,4.17E-05,3.32E-04,8.27E-06,9.90E-11,1.53E-10,3.94E-10,9.78E-10,1.22E-09,1.49E-09
1653,264.1594892_18.224245,-0.117711356,0.762952038,1,1.40E-04,1.65E-04,1.91E-05,9.90E-11,1.53E-10,3.94E-10,9.78E-10,1.22E-09,1.49E-09
2019,295.2016115_19.487858,-0.117685257,0.763003384,1,2.04E-04,3.11E-04,8.84E-11,9.90E-11,1.53E-10,3.94E-10,9.78E-10,1.22E-09,1.49E-09
2009,205.1951482_19.46757,0.117060189,0.764233358,1,3.75E-02,8.17E-02,2.09E-02,5.60E-04,1.53E-10,3.94E-10,9.78E-10,1.22E-09,1.49E-09
2664,878.604215_21.816545,-0.116606746,0.765125903,1,1.38E-04,1.91E-04,8.55E-06,9.90E-11,1.53E-10,3.94E-10,9.78E-10,1.22E-09,1.49E-09
4362,349.2946959_27.429337,0.116377959,0.765576333,1,1.49E-10,1.08E-10,8.84E-11,9.90E-11,1.75E-04,6.48E-04,9.78E-10,1.22E-09,1.49E-09
4259,377.268432_27.128862,0.116053143,0.766215925,1,1.49E-10,1.08E-10,8.84E-11,2.53E-05,2.08E-04,8.52E-04,9.78E-10,1.22E-09,1.49E-09
4888,367.3205365_29.008606,0.116000154,0.766320278,1,1.49E-10,1.08E-10,8.84E-11,9.90E-11,8.09E-04,3.01E-03,9.78E-10,1.22E-09,1.49E-09
2007,149.1325567_19.465544,0.115460634,0.767382945,1,1.64E-03,3.68E-03,9.01E-04,9.90E-11,1.53E-10,3.94E-10,9.78E-10,1.22E-09,1.49E-09
1999,163.1481499_19.4579,0.11496068,0.768367981,1,8.13E-04,1.82E-03,4.47E-04,9.90E-11,1.53E-10,3.94E-10,9.78E-10,1.22E-09,1.49E-09
73,256.1755518_5.449819,-0.114250243,0.769768216,1,1.56E-05,5.55E-06,2.95E-05,4.03E-05,6.41E-05,2.14E-04,9.78E-10,2.81E-04,1.49E-09
1998,135.1169033_19.4579,0.114227577,0.769812898,1,6.23E-04,1.42E-03,3.39E-04,9.90E-11,1.53E-10,3.94E-10,9.78E-10,1.22E-09,1.49E-09
1417,222.1125468_17.471392,-0.114097987,0.770068378,1,1.75E-04,2.71E-04,8.84E-11,9.90E-11,1.53E-10,3.94E-10,9.78E-10,1.22E-09,1.49E-09
4193,377.2684249_26.895515,0.113322703,0.771597213,1,1.49E-10,1.08E-10,8.84E-11,9.90E-11,1.81E-04,6.97E-04,9.78E-10,1.22E-09,1.49E-09
289,152.1070969_9.618486,-0.112565408,0.773091232,1,2.07E-03,8.75E-04,6.23E-04,3.56E-04,1.77E-04,3.94E-10,9.78E-10,1.22E-09,1.49E-09
2002,123.1170665_19.461714,0.111438963,0.775314716,1,6.45E-04,1.52E-03,3.40E-04,9.90E-11,1.53E-10,3.94E-10,9.78E-10,1.22E-09,1.49E-09
3194,315.1956504_23.725353,0.110612362,0.776947238,1,3.60E-05,1.08E-10,2.48E-04,1.90E-04,1.53E-10,1.78E-04,9.78E-10,4.65E-04,1.49E-09
2108,414.2851767_19.828451,-0.11042065,0.777325974,1,1.94E-04,2.57E-04,1.89E-05,9.90E-11,1.53E-10,3.94E-10,9.78E-10,1.22E-09,1.49E-09
4447,414.3211812_27.666784,0.109687077,0.778775556,1,1.49E-10,1.08E-10,8.84E-11,7.33E-04,3.24E-03,5.95E-03,1.83E-03,1.16E-03,1.49E-09
2708,404.2929936_21.976126,-0.108714502,0.78069833,1,9.56E-04,1.05E-03,1.77E-04,9.90E-11,1.53E-10,3.94E-10,9.78E-10,1.22E-09,1.49E-09
2600,762.5570565_21.554342,-0.107161716,0.783770304,1,8.73E-04,9.19E-04,1.80E-04,9.90E-11,1.53E-10,3.94E-10,9.78E-10,1.22E-09,1.49E-09
2929,441.330045_22.789885,0.107082247,0.783927594,1,5.36E-04,1.46E-03,2.56E-04,9.90E-11,1.53E-10,3.94E-10,9.78E-10,1.22E-09,1.49E-09
1501,369.2038688_17.687477,-0.106364387,0.78534872,1,7.57E-04,9.31E-04,1.09E-04,9.90E-11,1.53E-10,3.94E-10,9.78E-10,1.22E-09,1.49E-09
2916,565.3925248_22.73945,-0.106266115,0.785543309,1,2.73E-04,3.60E-04,2.98E-05,9.90E-11,1.53E-10,3.94E-10,9.78E-10,1.22E-09,1.49E-09
1894,325.2012573_19.061161,-0.105329657,0.787398107,1,1.50E-04,2.42E-04,8.84E-11,9.90E-11,1.53E-10,3.94E-10,9.78E-10,1.22E-09,1.49E-09
